Fecha,CBA_Pesos,CBT_Pesos
2016-04-01,1514.53,3663.66
2016-05-01,1561.35,3830.77
2016-06-01,1614.32,3942.67
2016-07-01,1666.48,4033.76
2016-08-01,1675.05,4041.87
2016-09-01,1711.22,4089.82
2016-10-01,1739.34,4191.81
2016-11-01,1762.65,4247.99
2016-12-01,1766.62,4257.55
2017-01-01,1789.15,4311.85
2017-02-01,1821.02,4425.08
2017-03-01,1876.56,4560.04
2017-04-01,1915.47,4692.9
2017-05-01,1937.24,4746.24
2017-06-01,1956.42,4793.23
2017-07-01,1984.64,4862.37
2017-08-01,2021.98,4933.63
2017-09-01,2049.39,5000.51
2017-10-01,2079.23,5073.32
2017-11-01,2125.84,5187.05
2017-12-01,2150.29,5397.23
2018-01-01,2197.26,5493.15
2018-02-01,2261.23,5675.69
2018-03-01,2294.56,5782.29
2018-04-01,2308.11,5908.76
2018-05-01,2418.65,6095.0
2018-06-01,2537.45,6343.62
2018-07-01,2627.37,6515.88
2018-08-01,2701.48,6753.7
2018-09-01,2931.88,7300.38
2018-10-01,3150.62,7845.04
2018-11-01,3276.02,8157.29
2018-12-01,3300.17,8250.42
2019-01-01,3423.03,8557.58
2019-02-01,3597.77,8922.47
2019-03-01,3767.01,9304.51
2019-04-01,3833.28,9544.87
2019-05-01,3911.58,9818.07
2019-06-01,4016.09,10080.39
2019-07-01,4133.91,10334.77
2019-08-01,4290.72,10683.89
2019-09-01,4502.88,11257.2
2019-10-01,4596.2,11536.46
2019-11-01,4886.34,12166.99
2019-12-01,5043.41,12608.52
2020-01-01,5332.94,13065.7
2020-02-01,5432.32,13200.54
2020-03-01,5615.94,13590.57
2020-04-01,5791.79,13784.46
2020-05-01,5785.01,13941.87
2020-06-01,5834.66,14178.22
2020-07-01,5929.29,14408.17
2020-08-01,6081.69,14717.69
2020-09-01,6288.17,15280.25
2020-10-01,6702.33,16152.62
2020-11-01,6981.61,16755.86
2020-12-01,7340.12,17542.89
2021-01-01,7677.09,18271.47
2021-02-01,7953.14,18769.41
2021-03-01,8312.33,19700.22
2021-04-01,8633.31,20374.61
2021-05-01,8874.89,20855.99
2021-06-01,9195.41,21517.26
2021-07-01,9386.04,21869.47
2021-08-01,9454.13,22122.66
2021-09-01,9713.21,22826.04
2021-10-01,10008.2,23419.19
2021-11-01,10266.79,23921.62
2021-12-01,10667.86,24642.76
2022-01-01,11111.27,25444.81
2022-02-01,12108.08,27122.1
2022-03-01,12900.45,29026.01
2022-04-01,13762.77,30828.6
2022-05-01,14400.84,32257.88
2022-06-01,15056.75,33727.12
2022-07-01,16008.28,36018.63
2022-08-01,17148.8,38756.29
2022-09-01,18359.84,41493.24
2022-10-01,20098.92,45222.57
2022-11-01,20715.93,47232.32
2022-12-01,21743.48,49357.7
2023-01-01,23315.04,52925.14
2023-02-01,26046.32,57301.9
2023-03-01,28388.12,61886.1
2023-04-01,30468.76,65812.52
2023-05-01,32055.87,70522.91
2023-06-01,33730.51,75219.04
2023-07-01,36130.15,80570.23
2023-08-01,42262.25,92131.7
2023-09-01,47857.79,103372.83
2023-10-01,51974.93,111746.1
2023-11-01,59886.86,126361.27
2023-12-01,77889.58,160452.53
2024-01-01,92414.67,193146.66
2024-02-01,104482.59,223592.74
2024-03-01,115873.35,250286.44
2024-04-01,120726.29,268012.36
2024-05-01,125235.49,275518.08
2024-06-01,127287.79,282578.89
2024-07-01,131293.57,291471.73
2024-08-01,136399.3,304170.44
2024-09-01,138744.31,312174.7
2024-10-01,140653.57,319283.6
2024-11-01,142148.73,324099.1
2024-12-01,145408.96,331532.43
2025-01-01,146726.23,334535.8
2025-02-01,151491.17,342370.04
2025-03-01,160393.45,356073.46
2025-04-01,162553.77,359243.83
2025-05-01,161903.21,359425.13
2025-06-01,163756.66,365177.35
2025-07-01,166797.7,371958.87
2025-08-01,168456.04,375656.97
2025-09-01,170788.46,380858.27
2025-10-01,176150.29,392815.15
2025-11-01,183289.46,406902.6
2025-12-01,190780.09,423531.8
2026-01-01,201938.62,440226.19
